西暦,年度,資料,取得元URL,最終URL,結果,バイト数
2023,令和5年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/55kijyun-seitou.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/55kijyun-seitou.pdf,OK,108624
2024,令和6年度,01_選択式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/56sentakushiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/56sentakushiki.pdf,OK,285759
2024,令和6年度,02_択一式試験問題.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/56takuitsusiki.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/56takuitsusiki.pdf,OK,505883
2024,令和6年度,03_公式_合格基準及び正答.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/56kijyun-seitou.pdf,https://www.agaroot.jp/sharo/column/wp-content/uploads/2024/10/56kijyun-seitou.pdf,OK,109950
2024,令和6年度,01_選択式試験問題.pdf（公式サイト直接）,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/08/令和6年度選択式.pdf,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/08/%E4%BB%A4%E5%92%8C6%E5%B9%B4%E5%BA%A6%E9%81%B8%E6%8A%9E%E5%BC%8F.pdf,OK,285759
2024,令和6年度,02_択一式試験問題.pdf（公式サイト直接）,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/08/令和6年度択一式.pdf,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/08/%E4%BB%A4%E5%92%8C6%E5%B9%B4%E5%BA%A6%E6%8A%9E%E4%B8%80%E5%BC%8F.pdf,OK,505883
2024,令和6年度,03_公式_合格基準及び正答.pdf（公式サイト直接）,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/10/社会保険労務士試験の合格基準及び正答について-1.pdf,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/10/%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%BA%E5%8A%B4%E5%8B%99%E5%A3%AB%E8%A9%A6%E9%A8%93%E3%81%AE%E5%90%88%E6%A0%BC%E5%9F%BA%E6%BA%96%E5%8F%8A%E3%81%B3%E6%AD%A3%E7%AD%94%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6-1.pdf,OK,78956
2024,令和6年度,04_公式_問題誤りについて.pdf（公式サイト直接）,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/10/令和６年社会保険労務士試験に係る問題誤りについて.pdf,https://www.sharosi-siken.or.jp/wp-content/uploads/2024/10/%E4%BB%A4%E5%92%8C%EF%BC%96%E5%B9%B4%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%BA%E5%8A%B4%E5%8B%99%E5%A3%AB%E8%A9%A6%E9%A8%93%E3%81%AB%E4%BF%82%E3%82%8B%E5%95%8F%E9%A1%8C%E8%AA%A4%E3%82%8A%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6.pdf,OK,68673
2005,平成17年度,公式公表_合格基準及び正答.pdf,https://kyoikukunren.com/sharo/37seito.pdf,https://kyoikukunren.com/sharo/37seito.pdf,OK,31071
2007,平成19年度,公式公表_合格基準及び正答.pdf,https://kyoikukunren.com/sharo/39seito.pdf,https://kyoikukunren.com/sharo/39seito.pdf,OK,11310
